content,date,location,like_count,source,total_media_shared,retweet_count,month_year,clearcontent
"WHO is reassured of the quality of the ongoing investigations and the response measures implemented on the novel #coronavirus (2019-nCoV) in #Wuhan, #China🇨🇳 and the authorities’ commitment to share information regularly with WHO https://t.co/eTffz8oyEa https://t.co/HYH5tSdf5Q",2020-01-12,"Geneva, Switzerland",50,Twitter for iPhone,1,64,2020-01,who is reassured of the quality of the ongoing investigations and the response measures implemented on the novel coronavirus 2019ncov in wuhan china and the authorities commitment to share information regularly with who
"On 11 and 12 January 2020, WHO received further detailed information from the #China🇨🇳 National Health Commission about the novel #coronavirus (2019-nCoV) outbreak https://t.co/eTffz8oyEa https://t.co/pXrnYowcq8",2020-01-12,"Geneva, Switzerland",417,Twitter for iPhone,1,489,2020-01,on 11 and 12 january 2020 who received further detailed information from the china national health commission about the novel coronavirus 2019ncov outbreak
Timely sharing of #pathogen #sequences are critical for public health. The whole genome sequences of novel #coronavirus will enable the rapid development of diagnostics as well as track transmission and understand epidemiology. Congratulations to China on this accomplishment. @,2020-01-12,"Chennai, India",69,Twitter for iPhone,0,23,2020-01,timely sharing of pathogen sequences are critical for public health the whole genome sequences of novel coronavirus will enable the rapid development of diagnostics as well as track transmission and understand epidemiology congratulations to china on this accomplishment
WHO | Novel #Coronavirus – China https://t.co/EniTqqS9kF,2020-01-12,Toronto,0,Twitter for iPhone,0,0,2020-01,who novel coronavirus china
"On the latest episode of This Week in Virology #TWiV we cover the new coronavirus causing respiratory disease in China, the current influenza season, and the epidemic of African swine fever https://t.co/SpKHgBroTn #virus #coronavirus https://t.co/t7bJrY1E5F",2020-01-12,"New York, USA",87,Twitter Web App,1,30,2020-01,on the latest episode of this week in virology twiv we cover the new coronavirus causing respiratory disease in china the current influenza season and the epidemic of african swine fever virus coronavirus
⬇️ We’ve just published more guidance on the new #coronavirus — it’s mainly for clinicians but super-interesting for anyone following the situation.,2020-01-12,"Geneva, Switzerland",12,Twitter for iPhone,0,5,2020-01,weve just published more guidance on the new coronavirus its mainly for clinicians but superinteresting for anyone following the situation
"NEW: WHO interim guidance: 👩🏻‍⚕👨🏽‍⚕ Clinical management - how to care for patients with severe acute respiratory infection when novel #coronavirus (nCoV) infection is suspected 

👉 https://t.co/XS6VNmuEIZ https://t.co/OgZi0Zjy0w",2020-01-12,"Geneva, Switzerland",89,Twitter for iPhone,1,56,2020-01,new who interim guidance clinical management how to care for patients with severe acute respiratory infection when novel coronavirus ncov infection is suspected
"Full story:
#coronavirus 
 https://t.co/N9oS8dwdUX",2020-01-12,Beijing,0,Twitter Web App,0,0,2020-01,full story coronavirus
It's good to see #Wuhan Municipal Health Commission posting regular updates on the new #coronavirus. This is to be applauded. https://t.co/gooxRaxZII,2020-01-13,"Boston, MA",31,Twitter Web App,0,17,2020-01,its good to see wuhan municipal health commission posting regular updates on the new coronavirus this is to be applauded
"As the 1st death from the mysterious #coronavirus has been reported in #Wuhan, China, scientists have also released the first genetic sequence of the virus. @JeremyFarrar @statnews https://t.co/PbPxMjpqYi",2020-01-13,"Arlington, VA",15,Twitter Web App,0,16,2020-01,as the 1st death from the mysterious coronavirus has been reported in wuhan china scientists have also released the first genetic sequence of the virus jeremyfarrar statnews
Further China investigation into new strain of #coronavirus source ‘essential’ says @WHO https://t.co/sd1BKNUKI5,2020-01-13,"Manhattan, NY",10,TweetDeck,0,4,2020-01,further china investigation into new strain of coronavirus source essential says who
"The outbreak of a new #coronavirus in China is a reminder that we need a globally coordinated approach to prevent infectious disease from spreading 🌏

The global health community still has more to do to #OutsmartEpidemics 👉 https://t.co/eeJ1y4vWfv | @JeremyFarrar",2020-01-13,Global,16,Twitter Web App,0,8,2020-01,the outbreak of a new coronavirus in china is a reminder that we need a globally coordinated approach to prevent infectious disease from spreading the global health community still has more to do to outsmartepidemics jeremyfarrar
Reduce your risk of #coronavirus infection: https://t.co/ZwyFVwY6EU,2020-01-13,"Geneva, Switzerland",853,Twitter Web App,1,608,2020-01,reduce your risk of coronavirus infection
"Chinese officials report no confirmed person-to-person spread in pneumonia outbreak being investigated in that country. @CDCgov is monitoring the situation closely; reports no US cases.
#coronavirus
https://t.co/CLykc4qloy https://t.co/uv2RQAk0wt",2020-01-13,"Atlanta, GA",34,Twitter Web App,1,24,2020-01,chinese officials report no confirmed persontoperson spread in pneumonia outbreak being investigated in that country cdcgov is monitoring the situation closely reports no us cases coronavirus
I wonder how long it will be before there is the first case of #Wuhan #coronavirus in North America or Europe?,2020-01-13,Global Citizen ,2,Twitter for iPhone,0,0,2020-01,i wonder how long it will be before there is the first case of wuhan coronavirus in north america or europe
Has anyone heard about when @DrTedros may convene the IHR committee to discuss the novel #coronavirus and if it may constitute a #PHEIC @Crof @MackayIM @alexandraphelan @HelenBranswell,2020-01-13,Global Citizen ,1,Twitter for iPhone,0,0,2020-01,has anyone heard about when drtedros may convene the ihr committee to discuss the novel coronavirus and if it may constitute a pheic crof mackayim alexandraphelan helenbranswell
"New case of the novel #coronavirus in Thailand. Sharing of the sequence data was an important step to allow other countries to be prepared to detect this virus.
https://t.co/hZLUC4rDYl",2020-01-13,@wellcometrust,7,Twitter Web App,0,2,2020-01,new case of the novel coronavirus in thailand sharing of the sequence data was an important step to allow other countries to be prepared to detect this virus
"A mystery respiratory virus which emerged in China at the beginning of the year has been found in Thailand, raising fears that the disease is not being contained | @annegulland &amp; @sneweyy 

@WHO | @JonathanKBall | @LSHTM | @jenneratingVacc | #coronavirus
https://t.co/LmOlPLLPp8",2020-01-13,Free to read,1,Twitter Web App,0,5,2020-01,a mystery respiratory virus which emerged in china at the beginning of the year has been found in thailand raising fears that the disease is not being contained annegulland amp sneweyy who jonathankball lshtm jenneratingvacc coronavirus
"WHO Director-General @DrTedros reportedly considering convening an IHR Emergency Committee to review whether the #Wuhan #Coronavirus #2019nCov outbreak is a Public Health Emergency of International Concern

cc @RebeccaKatz5 @LawrenceGostin

https://t.co/Tw2tdMo6uH",2020-01-13,,18,Twitter Web App,0,11,2020-01,who directorgeneral drtedros reportedly considering convening an ihr emergency committee to review whether the wuhan coronavirus 2019ncov outbreak is a public health emergency of international concern cc rebeccakatz5 lawrencegostin
"WHO statement on novel #coronavirus in #Thailand
https://t.co/U5CigPLk9G",2020-01-13,"Brisbane, Australia",0,Twitter for Android,0,4,2020-01,who statement on novel coronavirus in thailand
Novel coronavirus (from Wuhan) now identified in Thailand. #IDtwitter #coronavirus  https://t.co/zmsCznUTDo,2020-01-13,University of Toronto,3,Twitter for iPhone,0,2,2020-01,novel coronavirus from wuhan now identified in thailand idtwitter coronavirus
"Given the developments on the novel #coronavirus (2019-nC0V), @WHO Director-General @DrTedros “is consulting with Emergency Committee members and could call for a meeting of the committee on short notice.”  https://t.co/7ICgnvM0fN #China #Thailand",2020-01-13,"Washington, DC ",6,Twitter for iPhone,0,11,2020-01,given the developments on the novel coronavirus 2019nc0v who directorgeneral drtedros is consulting with emergency committee members and could call for a meeting of the committee on short notice china thailand
First case of new #coronavirus outside of #Wuhan,2020-01-13,Toronto,3,Twitter for iPhone,0,6,2020-01,first case of new coronavirus outside of wuhan
Update on #coronavirus :,2020-01-13,"Geneva, Switzerland",8,Twitter Web App,0,2,2020-01,update on coronavirus
"@WHOThailand @WHOSEARO @WHOWPRO Given the developments on the novel #coronavirus (2019-nC0V), WHO Director-General @DrTedros is consulting with Emergency Committee members and could call for a meeting of the committee on short notice https://t.co/oTSIsz1iu0 https://t.co/15yZJNTyKo",2020-01-13,"Geneva, Switzerland",39,Twitter Web App,1,21,2020-01,whothailand whosearo whowpro given the developments on the novel coronavirus 2019nc0v who directorgeneral drtedros is consulting with emergency committee members and could call for a meeting of the committee on short notice
@WHOThailand @WHOSEARO @WHOWPRO WHO reiterates that it is essential that investigations of the novel #coronavirus (2019-nCoV) continue in #China🇨🇳 to identify the source of the outbreak and any animal reservoirs or intermediate hosts https://t.co/oTSIsziTly https://t.co/EnyCV5Jo2C,2020-01-13,"Geneva, Switzerland",32,Twitter Web App,1,28,2020-01,whothailand whosearo whowpro who reiterates that it is essential that investigations of the novel coronavirus 2019ncov continue in china to identify the source of the outbreak and any animal reservoirs or intermediate hosts
"@WHOThailand @WHOSEARO @WHOWPRO WHO has issued guidance on how to detect and treat persons ill with the new #coronavirus (2019-nCoV)

https://t.co/8WTH6SjJNY",2020-01-13,"Geneva, Switzerland",28,Twitter Web App,0,19,2020-01,whothailand whosearo whowpro who has issued guidance on how to detect and treat persons ill with the new coronavirus 2019ncov
"@WHOThailand @WHOSEARO @WHOWPRO The possibility of the novel #coronavirus (2019-nCoV) cases being identified in countries other than #China🇨🇳 was not unexpected, and reinforces why WHO calls for on-going active monitoring and preparedness in other countries. https://t.co/oTSIsz1iu0 https://t.co/HtkO5adJuo",2020-01-13,"Geneva, Switzerland",44,Twitter Web App,1,30,2020-01,whothailand whosearo whowpro the possibility of the novel coronavirus 2019ncov cases being identified in countries other than china was not unexpected and reinforces why who calls for ongoing active monitoring and preparedness in other countries
"WHO is working with officials in #Thailand🇹🇭 and #China🇨🇳 following reports of confirmation of the novel #coronavirus (2019-nCoV) in a traveler from #Wuhan, China, who traveled to Thailand https://t.co/pj20trsUCE",2020-01-13,"Geneva, Switzerland",267,Twitter Web App,1,229,2020-01,who is working with officials in thailand and china following reports of confirmation of the novel coronavirus 2019ncov in a traveler from wuhan china who traveled to thailand
"THREAD: Lots of news in the #WuhanPneumonia outbreak in China over the weekend:
1) First reported death in a 61 year old man with underlying health issues https://t.co/U0JcUFTWeK
2) Scientists shared the genetic sequence of the new #coronavirus apparently behind the outbreak.",2020-01-13,"Vienna, Austria",20,Twitter Web App,0,20,2020-01,thread lots of news in the wuhanpneumonia outbreak in china over the weekend 1 first reported death in a 61 year old man with underlying health issues 2 scientists shared the genetic sequence of the new coronavirus apparently behind the outbreak
"The outbreak of a respiratory illness caused by a new strain of #coronavirus in Wuhan is not spreading to new areas and no human-to-human transmission has been reported, according to WHO. https://t.co/2BJVR2sShh https://t.co/Iv30sP7Ktc",2020-01-13,Beijing,3,Twitter Web App,1,4,2020-01,the outbreak of a respiratory illness caused by a new strain of coronavirus in wuhan is not spreading to new areas and no humantohuman transmission has been reported according to who
Thailand says a traveler from #China was infected with novel #coronavirus but has since recovered and well enough to go home https://t.co/t6X6Ibxpgh via @business #Wuhanpneumonia,2020-01-13,Melbourne,2,Twitter Web Client,0,1,2020-01,thailand says a traveler from china was infected with novel coronavirus but has since recovered and well enough to go home via business wuhanpneumonia
First paper on the novel #coronavirus,2020-01-14,"Bogotá, D.C., Colombia",5,Twitter for iPhone,0,0,2020-01,first paper on the novel coronavirus
"Japan strengthens medical screening as it braces for an influx of Chinese visitors for the Lunar New Year.
#Lunarnewyear #springfestival #coronavirus 
https://t.co/kteAGkzZYW",2020-01-14,"Tokyo, New York",14,SocialFlow,0,11,2020-01,japan strengthens medical screening as it braces for an influx of chinese visitors for the lunar new year lunarnewyear springfestival coronavirus
"3. The new #coronavirus (#nCov2019  from here) is A) either spreading person-to-person, at low level &amp; undetected, or B) infected animals are found in at least 1 other market in Wuhan. 
Both A &amp; B can be true. 
China still reports no health worker infections, a good sign. https://t.co/RsTYqR3ym2",2020-01-14,"Boston, MA",7,Twitter Web App,1,9,2020-01,3 the new coronavirus ncov2019 from here is a either spreading persontoperson at low level amp undetected or b infected animals are found in at least 1 other market in wuhan both a amp b can be true china still reports no health worker infections a good sign
"#Wuhan's health authority said people in close contact with the traveler to #Thailand, who was confirmed to have been infected with the new #coronavirus, were under medical observation and no abnormality has been found. https://t.co/IuOy8q5hwZ https://t.co/xOA8cNv6pj",2020-01-14,"Beijing, China",7,Buffer,1,2,2020-01,wuhans health authority said people in close contact with the traveler to thailand who was confirmed to have been infected with the new coronavirus were under medical observation and no abnormality has been found
"🧻 Throw the used tissue into a closed bin immediately after use
🧼 Clean hands with soap and water or alcohol-based handrub after coughing or sneezing 🤧 or when caring for the sick

#coronavirus",2020-01-14,"Geneva, Switzerland",74,Twitter for iPhone,0,38,2020-01,throw the used tissue into a closed bin immediately after use clean hands with soap and water or alcoholbased handrub after coughing or sneezing or when caring for the sick coronavirus
"Protect others from getting sick:
2⃣ Completely cover your mouth &amp; nose with a tissue or a sleeve or flexed elbow when coughing or sneezing 🤧

#coronavirus https://t.co/MKpw5VhIU9",2020-01-14,"Geneva, Switzerland",75,Twitter for iPhone,1,39,2020-01,protect others from getting sick 2 completely cover your mouth amp nose with a tissue or a sleeve or flexed elbow when coughing or sneezing coronavirus
"How to handwash?
Use 🧼 and water for at least 40-60 seconds

How to handrub?
Use alcohol-based handrub 🧴 for 20-30 seconds 

#coronavirus https://t.co/eDGQkkzk6m",2020-01-14,"Geneva, Switzerland",223,Twitter for iPhone,2,178,2020-01,how to handwash use and water for at least 4060 seconds how to handrub use alcoholbased handrub for 2030 seconds coronavirus
"While this may appear to be bad news, if no further transmission occurs to any of the 182 contacts, it may be a positive development in the large picture.
#Wuhan 
#Coronavirus 
#2019nCoV",2020-01-14,YEG/Canada,1,Twitter for Android,0,0,2020-01,while this may appear to be bad news if no further transmission occurs to any of the 182 contacts it may be a positive development in the large picture wuhan coronavirus 2019ncov
"Wash your 🖐🏼 with 🧼 and running water when hands are visibly dirty.

If your 🖐🏼 are not visibly dirty, wash them with 🧼 and water or use an alcohol-based hand cleanser.

#coronavirus https://t.co/ZZqBjYvoL1",2020-01-14,"Geneva, Switzerland",66,Twitter for iPhone,1,44,2020-01,wash your with and running water when hands are visibly dirty if your are not visibly dirty wash them with and water or use an alcoholbased hand cleanser coronavirus
"Protect yourself &amp; others from getting sick:
1⃣ Wash your hands
🧼 after coughing or sneezing
🧼 when caring for the sick
🧼 before, during &amp; after you prepare food
🧼 before eating
🧼 after toilet use
🧼 when hands are dirty
🧼 after handling animals or animal waste
#coronavirus https://t.co/lt1rNAjSJb",2020-01-14,"Geneva, Switzerland",80,Twitter for iPhone,1,49,2020-01,protect yourself amp others from getting sick 1 wash your hands after coughing or sneezing when caring for the sick before during amp after you prepare food before eating after toilet use when hands are dirty after handling animals or animal waste coronavirus
"Civet cats, too. Wonder about a intermediate host that facilitate transmission through amplification #coronavirus #wuhan #china",2020-01-14,"Geneva, Switzerland",7,Twitter for iPhone,0,1,2020-01,civet cats too wonder about a intermediate host that facilitate transmission through amplification coronavirus wuhan china
"Additional investigation on the novel #coronavirus (2019-nC0V) is needed to ascertain:
📂the presence of human-to-human transmission
📂modes of transmission
📂common source of exposure
📂the presence of asymptomatic or mildly symptomatic cases that are undetected https://t.co/ArQFHIDubc",2020-01-14,"Geneva, Switzerland",74,Twitter for iPhone,1,37,2020-01,additional investigation on the novel coronavirus 2019nc0v is needed to ascertain the presence of humantohuman transmission modes of transmission common source of exposure the presence of asymptomatic or mildly symptomatic cases that are undetected
"The patient reported a history of visiting a local fresh market in Wuhan on a regular basis prior to the onset of illness; however, she did not report visiting the Huanan South China Seafood Market from where most of the novel #coronavirus (2019-nCoV) cases were detected https://t.co/XUMG8F4uyV",2020-01-14,"Geneva, Switzerland",75,Twitter for iPhone,1,43,2020-01,the patient reported a history of visiting a local fresh market in wuhan on a regular basis prior to the onset of illness however she did not report visiting the huanan south china seafood market from where most of the novel coronavirus 2019ncov cases were detected
Canadian study on risk of travel transmission of new China #coronavirus,2020-01-14,Toronto,11,Twitter Web Client,0,12,2020-01,canadian study on risk of travel transmission of new china coronavirus
There is no confirmed person-to-person spread of illness in the pneumonia outbreak reported in China. @CDCgov reports no US cases. We are monitoring the situation closely. #coronavirus https://t.co/Bc2YMcVRv6 https://t.co/EaGnQ43810,2020-01-14,"Atlanta, GA",37,Sprout Social,1,25,2020-01,there is no confirmed persontoperson spread of illness in the pneumonia outbreak reported in china cdcgov reports no us cases we are monitoring the situation closely coronavirus
"A traveler from China has been infected with the new strain of #coronavirus in Thailand, the first confirmed case of the virus found outside of China. https://t.co/M4fWNjvBkF",2020-01-14,"Arlington, VA",2,Sprout Social,0,0,2020-01,a traveler from china has been infected with the new strain of coronavirus in thailand the first confirmed case of the virus found outside of china
"A novel #coronavirus has been identified in 41 people in Wuhan City, Hubei Province of #China.
https://t.co/47dCmbIZAE",2020-01-14,"Chennai, India",58,SocialFlow,0,15,2020-01,a novel coronavirus has been identified in 41 people in wuhan city hubei province of china
"@ECDC_EU Potential for transmission of the new coronavirus via commercial air travel, published today in the Journal of Travel Medicine

https://t.co/RlDKcAVd3w

Still unclear what the source is, and the efficiency of human-to-human transmission.

#coronavirus #wuhan",2020-01-14,University of Toronto,1,Twitter Web App,0,0,2020-01,ecdceu potential for transmission of the new coronavirus via commercial air travel published today in the journal of travel medicine still unclear what the source is and the efficiency of humantohuman transmission coronavirus wuhan
Read the newest #ECDC update on #Wuhan #pneumonia associated with a novel #coronavirus ⬇,2020-01-14,"Stockholm, Sweden",4,TweetDeck,0,4,2020-01,read the newest ecdc update on wuhan pneumonia associated with a novel coronavirus
"Update on #Wuhan City #pneumonia, associated with a novel #coronavirus:

41 cases tested positive as of 13 January 2020;
7 discharged, 6 in treatment, one died.

13/01 #Thailand reported a confirmed imported case - a tourist from Wuhan.

Read more: https://t.co/w1eozA6vz1 https://t.co/0QMql8bAfl",2020-01-14,"Stockholm, Sweden",10,TweetDeck,1,18,2020-01,update on wuhan city pneumonia associated with a novel coronavirus 41 cases tested positive as of 13 january 2020 7 discharged 6 in treatment one died 1301 thailand reported a confirmed imported case a tourist from wuhan read more
"#WHO says new #China #coronavirus could spread, warns #hospitals worldwide
#Health #quarantine #disease  https://t.co/GnrKwFmWRS",2020-01-14,Al Hilal - C Ring Road,0,GT_Backend,0,2,2020-01,who says new china coronavirus could spread warns hospitals worldwide health quarantine disease
"WHO says new #China #coronavirus could spread, warns hospitals worldwide https://t.co/f63Bye8MAL #health @WHO",2020-01-14,"Geneva, Switzerland",0,Twitter Web Client,0,1,2020-01,who says new china coronavirus could spread warns hospitals worldwide health who
"@haiyang050504 @haiyang050504 Hello - there has been no clear evidence of human-to-human transmission of the novel #coronavirus (2019-nCoV).
However, such transmission is always a concern when patients have respiratory symptoms - this requires further investigation.",2020-01-14,"Geneva, Switzerland",31,Twitter Web App,0,15,2020-01,haiyang050504 haiyang050504 hello there has been no clear evidence of humantohuman transmission of the novel coronavirus 2019ncov however such transmission is always a concern when patients have respiratory symptoms this requires further investigation
"@bylijing @bylijing Hi Li Jing, there has been no clear evidence of human-to-human transmission of the novel #coronavirus (2019-nCoV).
However, such transmission is always a concern when patients have respiratory symptoms - this requires further investigation.",2020-01-14,"Geneva, Switzerland",5,Twitter Web App,0,5,2020-01,bylijing bylijing hi li jing there has been no clear evidence of humantohuman transmission of the novel coronavirus 2019ncov however such transmission is always a concern when patients have respiratory symptoms this requires further investigation
"@onisillos @M_FerreiraDVM @hayesluk @onisillos Hi Onisillos, there has been no clear evidence of human-to-human transmission of the novel #coronavirus (2019-nCoV).
However, such transmission is always a concern when patients have respiratory symptoms - this requires further investigation.",2020-01-14,"Geneva, Switzerland",9,Twitter Web App,0,6,2020-01,onisillos mferreiradvm hayesluk onisillos hi onisillos there has been no clear evidence of humantohuman transmission of the novel coronavirus 2019ncov however such transmission is always a concern when patients have respiratory symptoms this requires further investigation
"@M_FerreiraDVM @M_FerreiraDVM Hi Matt, there has been no clear evidence of human-to-human transmission of the novel #coronavirus (2019-nCoV).
However, such transmission is always a concern when patients have respiratory symptoms - this requires further investigation.",2020-01-14,"Geneva, Switzerland",3,Twitter Web App,0,2,2020-01,mferreiradvm mferreiradvm hi matt there has been no clear evidence of humantohuman transmission of the novel coronavirus 2019ncov however such transmission is always a concern when patients have respiratory symptoms this requires further investigation
"@mattrbo @mattrbo Hi Matt, there has been no clear evidence of human-to-human transmission of the novel #coronavirus (2019-nCoV).
However, such transmission is always a concern when patients have respiratory symptoms - this requires further investigation.",2020-01-14,"Geneva, Switzerland",12,Twitter Web App,0,12,2020-01,mattrbo mattrbo hi matt there has been no clear evidence of humantohuman transmission of the novel coronavirus 2019ncov however such transmission is always a concern when patients have respiratory symptoms this requires further investigation
Kudos to #Chinese researchers who shared draft #genome of #coronavirus implicated in #Wuhan #pneumonia #outbreak https://t.co/4VOTUJmsfD,2020-01-14,Kumeyaay unceded land. ,13,Twitter Web Client,0,3,2020-01,kudos to chinese researchers who shared draft genome of coronavirus implicated in wuhan pneumonia outbreak
"Risk of novel coronavirus transmission via commercial air travel at the Journal of Travel Medicine.

Large Asian cities have greatest probability of importation.

https://t.co/RlDKcAVd3w

#Wuhan #coronavirus #IDtwitter",2020-01-14,University of Toronto,153,Twitter Web App,0,74,2020-01,risk of novel coronavirus transmission via commercial air travel at the journal of travel medicine large asian cities have greatest probability of importation wuhan coronavirus idtwitter
"So on one hand you’ve got @Reuters reporting that WHO is warning hospitals that novel #coronavirus could spread human-to-human... and on the other, @WHO is saying there’s no evidence of human-to-human transmission? 🤦‍♂️",2020-01-14,DMV,6,Twitter for iPhone,0,3,2020-01,so on one hand youve got reuters reporting that who is warning hospitals that novel coronavirus could spread humantohuman and on the other who is saying theres no evidence of humantohuman transmission
"A virus so close to SARS, it is not unlikely to be capable to H2H transmission. Also mild cases could go undetected so the real risk of ongoing transmission will only be assessed with a diagnostic test #coronavirus",2020-01-14,"Geneva, Switzerland",60,Twitter for iPhone,0,8,2020-01,a virus so close to sars it is not unlikely to be capable to h2h transmission also mild cases could go undetected so the real risk of ongoing transmission will only be assessed with a diagnostic test coronavirus
"Preliminary investigations conducted by the Chinese authorities have found no clear evidence of human-to-human transmission of the novel #coronavirus (2019-nCoV) identified in #Wuhan, #China🇨🇳. https://t.co/Fnl5P877VG",2020-01-14,"Geneva, Switzerland",28962,Twitter Web App,1,22929,2020-01,preliminary investigations conducted by the chinese authorities have found no clear evidence of humantohuman transmission of the novel coronavirus 2019ncov identified in wuhan china
"#NSTworld:  There has been “limited” human-to-human transmission of a new #coronavirus that has struck in #China, mainly small clusters in families, but there is potential for wider spread, the @WHO said on Tuesday.
 https://t.co/gKDM6QbxbB

@KKMPutrajaya",2020-01-14,Malaysia,5,TweetDeck,0,12,2020-01,nstworld there has been limited humantohuman transmission of a new coronavirus that has struck in china mainly small clusters in families but there is potential for wider spread the who said on tuesday kkmputrajaya
"""Countries invest heavily in protecting their people from terrorist attacks, but not against the attack of a #virus, which could be far more deadly, and far more damaging economically and socially. A #pandemic could bring economies and nations to their knees,"" - @DrTedros https://t.co/qmqIpnIJhb",2020-01-14,"Geneva, Switzerland",54,Twitter Web App,1,27,2020-01,countries invest heavily in protecting their people from terrorist attacks but not against the attack of a virus which could be far more deadly and far more damaging economically and socially a pandemic could bring economies and nations to their knees drtedros
"An important thread from the World Health Organization @WHO, as the first case of #WuhanVirus from #China is confirmed in #Thailand. 

#coronavirus (2019-nCoV)",2020-01-14,Tweets on Asia🌏 & USA  ,3,Twitter for iPhone,0,2,2020-01,an important thread from the world health organization who as the first case of wuhanvirus from china is confirmed in thailand coronavirus 2019ncov
A female tourist from the central Chinese city of Wuhan has been confirmed as the first person in Thailand infected with the novel ＃coronavirus.She was sent from the airport to a hospital where she has recovered and has been ready to return to Wuhan. https://t.co/LYXgb5bclw,2020-01-14,Beijing,4,Twitter for iPhone,1,1,2020-01,a female tourist from the central chinese city of wuhan has been confirmed as the first person in thailand infected with the novel coronavirusshe was sent from the airport to a hospital where she has recovered and has been ready to return to wuhan
A female tourist from the central Chinese city of Wuhan has been confirmed as the first person in Thailand infected with new strain of virus from same family as SARS and MERS according to China State Media #coronavirus,2020-01-14,Hong Kong,4,Twitter Web App,0,4,2020-01,a female tourist from the central chinese city of wuhan has been confirmed as the first person in thailand infected with new strain of virus from same family as sars and mers according to china state media coronavirus
A female tourist from the central Chinese city of #Wuhan has been confirmed as the first person in Thailand infected with the novel #coronavirus. https://t.co/8dbCNo8HlZ,2020-01-14,Shanghai,7,Twitter Web Client,0,2,2020-01,a female tourist from the central chinese city of wuhan has been confirmed as the first person in thailand infected with the novel coronavirus
"#Wuhan officials have given more information on the fatal case (who had some serious underlying health problems) in the novel, #pneumonia-causing #coronavirus outbreak https://t.co/NLUpzsPf0c via @business",2020-01-14,Melbourne,0,Twitter Web App,0,1,2020-01,wuhan officials have given more information on the fatal case who had some serious underlying health problems in the novel pneumoniacausing coronavirus outbreak via business
#Thailand reports case of #coronavirus from #China：The Asahi Shimbun https://t.co/66xH2NOWBw,2020-01-14,Tokyo's Tsukiji district,0,Twitter Web Client,0,1,2020-01,thailand reports case of coronavirus from chinathe asahi shimbun
New #coronavirus strain identified in Thailand. @WHO calls on countries to monitor and prepare for possible further cases https://t.co/sd1BKND9jv,2020-01-14,"Manhattan, NY",11,TweetDeck,0,9,2020-01,new coronavirus strain identified in thailand who calls on countries to monitor and prepare for possible further cases
Thailand reports case of new #coronavirus from China #Wuhan https://t.co/2zoEETodvC https://t.co/yGvKPw3vaz,2020-01-14,"Honolulu, Hawaii",0,Sendible,1,0,2020-01,thailand reports case of new coronavirus from china wuhan
The latest Emergency Management Times! https://t.co/pFeBsqB25C Thanks to @pioneergirl08 @wildfirediva @dhillon100 #coronavirus #auspol,2020-01-15,"Washington, DC",2,Paper.li,0,2,2020-01,the latest emergency management times thanks to pioneergirl08 wildfirediva dhillon100 coronavirus auspol
CDC continues to monitor this ongoing investigation to learn more about this rapidly evolving outbreak #coronavirus. #2019-nCoV https://t.co/57StqeW1Na,2020-01-15,"Atlanta, GA",62,Twitter Web App,0,54,2020-01,cdc continues to monitor this ongoing investigation to learn more about this rapidly evolving outbreak coronavirus 2019ncov
"❌Eating raw meat &amp; uncooked blood-based dishes is risky &amp; can make you sick.
🥚 Cook eggs thoroughly.
🧼 After handling raw meat, wash your hands thoroughly with soap &amp; water.

#coronavirus https://t.co/h97fhiSn99",2020-01-15,"Geneva, Switzerland",70,Twitter for iPhone,1,33,2020-01,eating raw meat amp uncooked bloodbased dishes is risky amp can make you sick cook eggs thoroughly after handling raw meat wash your hands thoroughly with soap amp water coronavirus
"Practice #foodsafety: 
🔪Use different chopping boards &amp; knives for raw meat and other foods.
🧼 Wash your hands in between handling raw and cooked food.

#coronavirus https://t.co/ryFyPlmB2U",2020-01-15,"Geneva, Switzerland",102,Twitter for iPhone,1,45,2020-01,practice foodsafety use different chopping boards amp knives for raw meat and other foods wash your hands in between handling raw and cooked food coronavirus
"@WHOThailand @WHOSEARO @WHOWPRO Protect yourself &amp; others from getting sick:
5⃣ Practice #foodsafety 🍽 https://t.co/Dcv7C9iBGy

#coronavirus https://t.co/qaLljVNK5p",2020-01-15,"Geneva, Switzerland",89,Twitter Web App,1,41,2020-01,whothailand whosearo whowpro protect yourself amp others from getting sick 5 practice foodsafety coronavirus
"@WHOThailand @WHOSEARO @WHOWPRO Protect yourself from getting sick:
4⃣ Avoiding unprotected contact with sick people 🤒 (incl. spitting in public, touching one’s eyes, nose or mouth) and with live farm 🐓🐖🐄 or wild animals 🦇🐒

#coronavirus https://t.co/6lcZuXqyse",2020-01-15,"Geneva, Switzerland",45,Twitter Web App,1,22,2020-01,whothailand whosearo whowpro protect yourself from getting sick 4 avoiding unprotected contact with sick people incl spitting in public touching ones eyes nose or mouth and with live farm or wild animals coronavirus
"It’s not a question of whether or not another #pandemic disaster will strike — it’s a question of when, and how severe it will be. The threat of the next pandemic is real, and is one of our top five #healthcrises to watch (and address) in 2020. https://t.co/JN5IlJweEy https://t.co/7Y0kgf7W9q",2020-01-15,Everywhere,4,Sprout Social,1,5,2020-01,its not a question of whether or not another pandemic disaster will strike its a question of when and how severe it will be the threat of the next pandemic is real and is one of our top five healthcrises to watch and address in 2020
